Client payeur,CP,Ville,Adresse 1,Agent commercial,niv. commission,Type client,Agent commercial,CA Loc 2025,CA Vte 2025,CA Loc 2024,CA Vte 2024,EVOLUTION € LOC,EVOLUTION %,EVOLUTION € VTE,EVOLUTION %,PART LOC 2025,PART VTE 2025,PART LOC 2024,PART VTE 2024
PHARMACIE DE L ABBAYE / DR SOMNIER  - 6930,13007,MARSEILLE 7EME ARRONDISSE,4 AVENUE DE LA CORSE,56 - 001,,09 - PHARMACIE,001 - EMS,5073.52,2218.2200000000003,13090.529999999968,5756.8499999999985,-8017.0099999999675,-0.6124282210116769,-3538.6299999999983,-0.6146816401330587,0.6957900309116891,0.3042099690883109,0.6945543624631111,0.30544563753688886
PHARMACIE NOTRE DAME / DR PEYRON FLORIAN  - 6926,13006,MARSEILLE 6EME ARRONDISSE,79 COURS PIERRE PUGET,47 - 001,,09 - PHARMACIE,001 - EMS,5219.96,3194.5,6154.479999999997,4725.35,-934.5199999999968,-0.15184386008241108,-1530.8500000000004,-0.3239654205508587,0.6203559111339291,0.37964408886607104,0.5656779563651269,0.4343220436348731
PHARMACIE LA CASTELLANE / DR ZERROUKI  - 6951,13015,MARSEILLE 15EME ARRONDISS,CITE DE LA CASTELLANE,42 - 001,,09 - PHARMACIE,001 - EMS,5082.650000000001,43.3,7268.6900000000005,5516.47,-2186.04,-0.30074745242952994,-5473.17,-0.9921507775805904,0.991552785337352,0.008447214662647898,0.5685255405485735,0.43147445945142654
PHARMACIE CATALANS PLAGE / DR METZ  - 3962,13007,MARSEILLE,8. rue des Catalans,30 - 001,,09 - PHARMACIE,001 - EMS,4633.22,3869.3700000000003,2111.2900000000022,5903.8099999999995,2521.929999999998,1.1944972031317325,-2034.4399999999991,-0.3445978105663968,0.5449186659594312,0.45508133404056883,0.263414055969358,0.7365859440306419
PHARMACIE MONTAIGNE / DR SOMMER  - 3711,13012,MARSEILLE 12EME ARRONDISS,7 rue montaigne,37 - 001,,09 - PHARMACIE,001 - EMS,6051.83,2311.51,8490.269999999995,8359.689999999995,-2438.439999999995,-0.2872040582926098,-6048.179999999995,-0.7234933352791788,0.7236140106703781,0.27638598932962194,0.5038747866463777,0.49612521335362214
PHARMACIE DU PARC CHANOT / DR KOUHAILA  - 6936,13008,MARSEILLE 8EME ARRONDISSE,36 BOULEVARD RABATAU,45 - 001,,09 - PHARMACIE,001 - EMS,4038.3,4696.22,4105.949999999999,8046.09999999999,-67.64999999999873,-0.016476089577320413,-3349.87999999999,-0.416335864580355,0.4623379418674409,0.5376620581325591,0.33788126283219727,0.6621187371678028
PHARMACIE DE LA VIEILLE CHAPELLE / DR VANELLE  - 3813,13008,MARSEILLE 8EME ARRONDISSE,159 Avenue Joseph Vidal,62 - 001,,09 - PHARMACIE,001 - EMS,7363.49,1282.7,11360.209999999986,3117.5200000000004,-3996.7199999999866,-0.3518174399945064,-1834.8200000000004,-0.5885511560471144,0.8516456381365665,0.14835436186343348,0.7846679002854727,0.2153320997145273
PHARMACIE FLAMMARION / DR GUER  - 6913,13004,MARSEILLE 4EME ARRONDISSE,100 BOULEVARD CAMILLE FLAMMARION,41 - 001,,09 - PHARMACIE,001 - EMS,3799.23,11318.640000000001,219.51,1047.4,3579.7200000000003,16.307776411097446,10271.240000000002,9.806415886958183,0.2513072278039168,0.7486927721960832,0.17326408347870012,0.8267359165212999
PHARMACIE ZABOTTO / DR ZABOTTO  - 6946,13013,MARSEILLE 13EME ARRONDISS,13 RUE RAYMONDE MARTIN,48 - 001,,09 - PHARMACIE,001 - EMS,3591.95,3996.49,3081.610000000014,2614.250000000002,510.3399999999856,0.16560823725259954,1382.239999999998,0.5287329061872419,0.4733449826314763,0.5266550173685237,0.5410262892697513,0.45897371073024873
PHARMACIE 65 PRADO / DR ESCOJIDO  - 6933,13006,MARSEILLE 6EME ARRONDISSE,65 AVENUE DU PRADO,39 - 001,,09 - PHARMACIE,001 - EMS,3618.27,5126.08,5973.909999999999,5815.449999999996,-2355.639999999999,-0.39432130715059305,-689.3699999999963,-0.11854112751377739,0.4137837575119934,0.5862162424880065,0.5067204665902136,0.4932795334097863
