Famille,Code article,Libellé article,Qté 2024,Qté 2025,C.A HT 2024,C.A HT 2025,PR HT 2024,PR HT 2025,Marge 2024,Marge 2025,Ecart Qté Volume,Ecart Qté %,Ecart C.A Volume,Ecart C.A %,,,,,,,,,,,
703,994.0,CHARLOTTE CLIP NON TISSE BLANCHE S/250,28,18,236,135,142.12,78.66,93.88,56.34,-10,-0.3571428571,-101,-0.4279661017,,,,,,,,,,,
503,1786.0,PERFUSEUR 3 VOIES GRAVITY 5.5 SITE Y *25,22,10,479.8,219,314.38,135.7,165.42,83.3,-12,-0.5454545455,-260.8,-0.5435598166,,,,,,,,,,,
703,330.0,COUVRE CHAUSSURE POLYETHYLENE  BLEU S/100 C/20,65,75,170.03,299.25,103.19,101.15,66.84,198.1,10,0.1538461538,129.22,0.7599835323,,,,,,,,,,,
703,443.0,CHARLOTTE BLANCHE S/100,6,8,24.8,28,10.28,12.42,14.52,15.58,2,0.3333333333,3.2,0.1290322581,,,,,,,,,,,
103,1124.0,FORFAIT LIVRAISON A DOMICILE DU DEAMBULATEUR,17,11,43.2,118.8,0,0,43.2,118.8,-6,-0.3529411765,75.6,1.75,,,,,,,,,,,
108,1265.0,COUSSIN ABDUCTION DE HANCHE AVEC HOUSSE,1,3,35.9,107.7,23.51,70.25,12.39,37.45,2,2,71.8,2,,,,,,,,,,,
201,698.0,COUSSIN VISCO C II T10 NU,17,19,747.14,712.5,372.64,0,374.5,712.5,2,0.1176470588,-34.64,-0.04636346602,,,,,,,,,,,
207,1059.0,CANNE BLANCHE NON VOYANT,9,14,157.5,245,94.29,152.6,63.21,92.4,5,0.5555555556,87.5,0.5555555556,,,,,,,,,,,
301,1814.0,REHAUSSE WC AVEC COUVERCLE & ACCOUDOIRS RELEVABLE,7,4,389.28,234,265.3,147.6,123.98,86.4,-3,-0.4285714286,-155.28,-0.3988902589,,,,,,,,,,,
406,361.0,ALLEVYN G.B LITE OVAL HYDROCEL SILICONÉ EXTRA MINCE 13.1X15.2  B/10 C/6,57,94,1083.83,1837.27,994.536,1629.168,89.294,208.102,37,0.649122807,753.44,0.6951643708,,,,,,,,,,,
704,324.0,"GANT D'INTERVENTION CHIRURGICAL LATEX STERILE SS POUDRE T M 7,5 B/50",26,33,625.58,840.32,366.65,455.09,258.93,385.23,7,0.2692307692,214.74,0.3432654497,,,,,,,,,,,
207,43.0,CANNE TRIPODE EPOXY GRIS,56,74,699.56,954.6,402.46,541.856,297.1,412.744,18,0.3214285714,255.04,0.3645720167,,,,,,,,,,,
303,1121.0,PLANCHE DE BAIN BENNY,25,34,538.99,864.56,378.6,506.6,160.39,357.96,9,0.36,325.57,0.6040371807,,,,,,,,,,,
1102,2106.0,OXYMETRE DE POULS OXY-ONE AVEC POCHETTE ET PILES,3,8,62.7,167.2,42.15,112.4,20.55,54.8,5,1.666666667,104.5,1.666666667,,,,,,,,,,,
1102,2053.0,TENSIOMETRE BRASSARD MANOPOIRE BOUTON POUSSOIR FAZZINI,2,5,65.8,164.5,34,85,31.8,79.5,3,1.5,98.7,1.5,,,,,,,,,,,
1102,1319.0,TENSIOMETRE LIAN NANO SHOCKPRO TM,5,1,227.6,47.9,142.82,28.36,84.78,19.54,-4,-0.8,-179.7,-0.789543058,,,,,,,,,,,
104,1914.0,PINCE DE PREHENSION 66 CM,6,11,59.4,99.9,27,49.5,32.4,50.4,5,0.8333333333,40.5,0.6818181818,,,,,,,,,,,
104,2042.0,PINCE DE PREHENSION 82 CM DRIVE,3,8,35.7,81.2,17.7,47.2,18,34,5,1.666666667,45.5,1.274509804,,,,,,,,,,,
202,1225.0,COUSSIN GEL 2D 41X41,4,4,262.8,249.66,175.2,175.2,87.6,74.46,0,0,-13.14,-0.05,,,,,,,,,,,
205,927.0,FAUTEUIL TRANSFERT T46 EUROMEDIS P/10,21,1,3493.68,195,2480.4,116.4,1013.28,78.6,-20,-0.9523809524,-3298.68,-0.9441849282,,,,,,,,,,,
402,430.0,COMPRESSE STERILE NON TISSE 25 SACHETS X2  7.5X7.5CM C/12,540,516,703.2,678,351,336.84,352.2,341.16,-24,-0.04444444444,-25.2,-0.03583617747,,,,,,,,,,,
501,577.0,AIGUILLE ACIER INOXYDABLE STERILE VERTE 21G 40MM B/100,20,70,39.8,139.3,22.75,77.99,17.05,61.31,50,2.5,99.5,2.5,,,,,,,,,,,
